epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29408,1.13868,3.0981,1.45451,0.8081,0.18333,0.25994,0.18624,1.12818,4.55505,1.50931,0.0001667,0.0001667,0.0001667
2,17.5616,1.13258,2.07311,1.3912,0.27701,0.50556,0.27421,0.12849,1.469,3.14014,1.90677,0.00034776,0.00034776,0.00034776
3,26.1026,1.08074,1.66057,1.36874,0.11743,0.25278,0.08053,0.049,1.57171,6.71803,2.05239,0.000526399,0.000526399,0.000526399
4,32.9075,1.14956,1.6629,1.40356,0.61538,0.20833,0.10614,0.04599,1.66669,21.7898,2.46353,0.000702617,0.000702617,0.000702617
5,40.6682,1.24337,1.58863,1.49063,0.0008,0.09722,0.00018,6e-05,2.87263,inf,4.99096,0.000876415,0.000876415,0.000876415
6,47.5685,1.21592,1.56532,1.50113,0.00463,0.20833,0.00422,0.00127,2.84587,inf,5.08358,0.00104779,0.00104779,0.00104779
7,56.1324,1.26317,1.61608,1.51914,0.00464,0.29167,0.00553,0.00288,1.73313,inf,3.16389,0.00121675,0.00121675,0.00121675
8,70.9535,1.26531,1.55827,1.52751,0.00731,0.575,0.00608,0.00214,2.221,109.534,3.29243,0.00138329,0.00138329,0.00138329
9,78.6874,1.27149,1.6144,1.50616,0.50486,0.30556,0.00592,0.00373,2.2999,inf,3.2384,0.0015474,0.0015474,0.0015474
10,86.7142,1.20183,1.44437,1.44708,0.50207,0.04167,0.00025,8e-05,4.32351,75.7754,6.01996,0.00156798,0.00156798,0.00156798
11,94.2025,1.18195,1.4641,1.41483,0.02865,0.37778,0.02613,0.00864,2.86377,45.7418,3.94545,0.00155698,0.00155698,0.00155698
12,102.679,1.2138,1.47389,1.44815,0.03187,0.47778,0.02491,0.00759,2.35893,26.0256,2.8136,0.00154598,0.00154598,0.00154598
13,110.436,1.20333,1.44125,1.46996,0.53113,0.22222,0.02299,0.00613,2.68582,25.8145,3.78813,0.00153497,0.00153497,0.00153497
14,119.847,1.17587,1.40429,1.46681,0.51768,0.125,0.01513,0.00442,2.9802,43.2307,3.94715,0.00152397,0.00152397,0.00152397
15,128.185,1.18456,1.45783,1.42313,0.18914,0.475,0.1553,0.07231,1.98507,23.1484,2.67975,0.00151297,0.00151297,0.00151297
16,137.292,1.11743,1.33654,1.38809,0.53561,0.13889,0.03849,0.02347,1.66302,16.5873,2.34763,0.00150197,0.00150197,0.00150197
17,150.097,1.18052,1.37399,1.44338,0.05031,0.40556,0.049,0.02067,2.04946,10.2741,2.52525,0.00149096,0.00149096,0.00149096
18,158.373,1.06264,1.3009,1.36267,0.10975,0.26389,0.11139,0.06099,1.56345,5.428,2.00791,0.00147996,0.00147996,0.00147996
19,166.515,1.19088,1.39831,1.47774,0.20215,0.48056,0.13069,0.06722,1.94852,7.18864,2.39695,0.00146896,0.00146896,0.00146896
20,174.448,1.08767,1.34543,1.36925,0.21671,0.30833,0.20759,0.10483,1.65775,8.08147,2.24823,0.00145796,0.00145796,0.00145796
21,182.233,1.11523,1.25769,1.41982,0.21814,0.36551,0.22265,0.12554,1.36911,4.56851,1.94402,0.00144696,0.00144696,0.00144696
22,190.021,1.05241,1.20194,1.38335,0.29146,0.64019,0.2844,0.16651,1.34797,5.02482,1.86831,0.00143595,0.00143595,0.00143595
23,198.102,1.04898,1.19742,1.33221,0.37767,0.48213,0.34836,0.20738,1.36251,3.28581,1.82519,0.00142495,0.00142495,0.00142495
24,206.98,1.05778,1.27607,1.31625,0.73955,0.37491,0.43606,0.31528,1.27023,2.32451,1.63293,0.00141395,0.00141395,0.00141395
25,217.472,1.11224,1.1913,1.36708,0.62277,0.575,0.48661,0.33082,1.2286,3.43316,1.75508,0.00140295,0.00140295,0.00140295
26,226.557,1.08894,1.24834,1.32991,0.57987,0.79346,0.52536,0.32492,1.43751,6.52163,1.97341,0.00139195,0.00139195,0.00139195
27,234.49,1.07066,1.16142,1.34176,0.48897,0.74722,0.55839,0.3322,1.30126,2.92321,1.7089,0.00138094,0.00138094,0.00138094
28,246.639,1.02229,1.1216,1.30559,0.39285,0.80278,0.44913,0.24512,1.21958,4.30678,1.73574,0.00136994,0.00136994,0.00136994
29,255.683,1.02165,1.17099,1.32468,0.6959,0.39204,0.41737,0.26498,1.36222,2.56229,1.73291,0.00135894,0.00135894,0.00135894
30,263.892,0.99187,1.14214,1.29774,0.61782,0.50556,0.41156,0.26371,1.23521,3.36852,1.74521,0.00134794,0.00134794,0.00134794
31,271.973,0.96381,1.08451,1.27622,0.41518,0.49167,0.38739,0.20238,1.28649,2.06284,1.64471,0.00133693,0.00133693,0.00133693
32,279.96,0.95799,1.07701,1.24636,0.3484,0.62315,0.39342,0.16952,1.68812,2.6609,2.03873,0.00132593,0.00132593,0.00132593
33,293.332,0.97201,1.09037,1.28585,0.44132,0.47778,0.30693,0.16127,1.67859,3.51277,2.14681,0.00131493,0.00131493,0.00131493
34,306.051,0.90137,0.98473,1.23414,0.38083,0.62222,0.34143,0.15725,1.50693,3.49019,1.93151,0.00130393,0.00130393,0.00130393
35,314.122,0.92503,0.99957,1.24554,0.26009,0.66602,0.42048,0.26998,1.25641,3.74693,1.80824,0.00129293,0.00129293,0.00129293
36,322.306,0.94716,1.03149,1.25588,0.46876,0.54108,0.46659,0.33572,1.23365,3.59838,1.74532,0.00128192,0.00128192,0.00128192
37,331.25,0.90682,1.05193,1.22583,0.44767,0.62274,0.46175,0.30025,1.23899,3.00275,1.73317,0.00127092,0.00127092,0.00127092
38,339.624,0.90891,0.99249,1.21707,0.3056,0.33611,0.24937,0.15736,1.33306,2.83622,1.693,0.00125992,0.00125992,0.00125992
39,347.265,0.95286,1.03049,1.23415,0.66749,0.46609,0.54233,0.34975,1.18059,1.97421,1.55947,0.00124892,0.00124892,0.00124892
40,360.028,0.91515,1.02908,1.21941,0.74089,0.51944,0.59879,0.33365,1.10398,2.58554,1.4877,0.00123791,0.00123791,0.00123791
41,368.252,0.91737,0.99824,1.2322,0.7761,0.57121,0.64588,0.43486,1.09665,1.96611,1.44976,0.00122691,0.00122691,0.00122691
42,377.452,0.88888,0.92207,1.2094,0.52209,0.74722,0.6013,0.3946,1.13717,1.95762,1.65801,0.00121591,0.00121591,0.00121591
43,388.262,0.89104,0.91713,1.19402,0.49352,0.59845,0.4943,0.31473,1.27172,1.8187,1.79461,0.00120491,0.00120491,0.00120491
44,397.213,0.85497,0.90995,1.20521,0.58189,0.49167,0.44008,0.2971,1.11132,1.77357,1.57984,0.00119391,0.00119391,0.00119391
45,409.353,0.855,0.88659,1.17796,0.60673,0.69226,0.60005,0.39853,1.10678,1.64709,1.57433,0.0011829,0.0011829,0.0011829
46,417.629,0.88631,0.91903,1.19858,0.60527,0.71784,0.65649,0.43273,1.09481,1.49721,1.47349,0.0011719,0.0011719,0.0011719
47,425.642,0.81304,0.87481,1.16435,0.70086,0.675,0.74979,0.49361,1.08854,1.65819,1.45322,0.0011609,0.0011609,0.0011609
48,434.418,0.78832,0.83487,1.15496,0.70042,0.675,0.67429,0.46339,1.17876,2.3335,1.63764,0.0011499,0.0011499,0.0011499
49,442.306,0.82518,0.86671,1.16118,0.58938,0.78509,0.64298,0.43198,1.23391,2.04761,1.67027,0.00113889,0.00113889,0.00113889
50,450.317,0.83833,0.85595,1.16331,0.74127,0.43611,0.44682,0.29251,1.39631,1.94436,1.84388,0.00112789,0.00112789,0.00112789
51,458.176,0.80504,0.80959,1.15308,0.55899,0.51944,0.52478,0.34031,1.13855,1.94411,1.56328,0.00111689,0.00111689,0.00111689
52,466.184,0.80462,0.81588,1.14959,0.76926,0.61877,0.64703,0.44248,1.05923,1.4398,1.47811,0.00110589,0.00110589,0.00110589
53,477.396,0.82496,0.87783,1.16921,0.64312,0.59396,0.64398,0.46011,1.14456,1.41737,1.546,0.00109489,0.00109489,0.00109489
54,485.343,0.827,0.80879,1.15505,0.5691,0.71667,0.63774,0.45322,1.08572,1.52759,1.55412,0.00108388,0.00108388,0.00108388
55,493.742,0.8046,0.82814,1.13134,0.52819,0.70556,0.64979,0.42376,1.17725,1.42566,1.62459,0.00107288,0.00107288,0.00107288
56,502.077,0.81775,0.88672,1.16476,0.74541,0.74722,0.80088,0.50981,1.13234,1.72494,1.57821,0.00106188,0.00106188,0.00106188
57,511.031,0.79798,0.86394,1.15391,0.75818,0.61767,0.73974,0.43738,1.11231,1.48422,1.53501,0.00105088,0.00105088,0.00105088
58,519.037,0.79273,0.82462,1.12028,0.49751,0.78486,0.69757,0.45188,1.16773,1.32681,1.55231,0.00103987,0.00103987,0.00103987
59,526.61,0.78974,0.8394,1.14173,0.80681,0.53135,0.70433,0.4751,1.12711,1.29039,1.63658,0.00102887,0.00102887,0.00102887
60,534.495,0.76651,0.73151,1.14207,0.73167,0.74023,0.74411,0.47933,1.1257,1.71068,1.5878,0.00101787,0.00101787,0.00101787
61,542.035,0.73008,0.74036,1.10536,0.74007,0.60556,0.66191,0.4193,1.14867,1.49222,1.53851,0.00100687,0.00100687,0.00100687
62,549.695,0.76377,0.70635,1.11014,0.68038,0.5559,0.63962,0.43168,1.08514,1.31785,1.52493,0.000995866,0.000995866,0.000995866
63,561.429,0.74781,0.75054,1.13635,0.73463,0.56076,0.64049,0.41931,1.10953,1.38362,1.55645,0.000984864,0.000984864,0.000984864
64,569.958,0.73695,0.75025,1.12046,0.6561,0.59318,0.59234,0.41763,1.13834,1.51324,1.55415,0.000973861,0.000973861,0.000973861
65,577.95,0.74496,0.69997,1.09884,0.63651,0.59167,0.66887,0.45216,1.14379,1.4958,1.57038,0.000962859,0.000962859,0.000962859
66,586.676,0.76048,0.73083,1.12195,0.71413,0.60556,0.66424,0.41868,1.17434,1.40889,1.57592,0.000951857,0.000951857,0.000951857
67,598.523,0.71316,0.70546,1.09523,0.77013,0.47778,0.52922,0.37198,1.23296,1.45344,1.63339,0.000940855,0.000940855,0.000940855
68,606.472,0.72384,0.71354,1.09128,0.83077,0.51993,0.59164,0.41199,1.11452,1.33396,1.534,0.000929853,0.000929853,0.000929853
69,614.602,0.69012,0.64624,1.08023,0.83508,0.54414,0.58246,0.36865,1.10316,1.35776,1.53526,0.00091885,0.00091885,0.00091885
70,622.685,0.75753,0.75797,1.12804,0.59366,0.5433,0.51642,0.34117,1.08428,1.3308,1.50263,0.000907848,0.000907848,0.000907848
71,630.764,0.68765,0.67833,1.07634,0.63436,0.60556,0.57553,0.30703,1.15937,1.49074,1.658,0.000896846,0.000896846,0.000896846
72,639.011,0.72829,0.70975,1.10467,0.62609,0.84722,0.73866,0.36335,1.22061,1.51438,1.74464,0.000885844,0.000885844,0.000885844
73,647.225,0.67982,0.69226,1.06992,0.79082,0.71944,0.70844,0.41572,1.10914,1.39055,1.64186,0.000874842,0.000874842,0.000874842
74,654.994,0.69614,0.66753,1.08372,0.66508,0.69167,0.68129,0.45356,1.01478,1.44379,1.47811,0.000863839,0.000863839,0.000863839
75,662.811,0.66073,0.62709,1.05004,0.81517,0.55356,0.7097,0.4955,0.948,1.45037,1.39288,0.000852837,0.000852837,0.000852837
76,670.644,0.7011,0.69234,1.0702,0.61076,0.69167,0.70115,0.48678,0.94392,1.26644,1.38778,0.000841835,0.000841835,0.000841835
77,678.302,0.67655,0.6495,1.07941,0.85497,0.69167,0.76945,0.51458,0.97615,1.20129,1.40934,0.000830833,0.000830833,0.000830833
78,687.033,0.72933,0.70242,1.12985,0.75259,0.87829,0.79593,0.50388,0.98586,1.40248,1.40598,0.000819831,0.000819831,0.000819831
79,694.726,0.66862,0.63382,1.05383,0.75838,0.83333,0.78938,0.48306,1.07776,1.4246,1.52182,0.000808828,0.000808828,0.000808828
80,707.876,0.66397,0.60419,1.05626,0.68591,0.75676,0.73409,0.42944,1.16182,1.56435,1.5705,0.000797826,0.000797826,0.000797826
81,715.808,0.70012,0.67006,1.0736,0.79002,0.62549,0.70956,0.40313,1.16068,1.63887,1.55724,0.000786824,0.000786824,0.000786824
82,723.632,0.72842,0.71986,1.11079,0.7947,0.62126,0.69698,0.4545,1.17279,1.70758,1.60541,0.000775822,0.000775822,0.000775822
83,731.864,0.69952,0.67383,1.0885,0.56743,0.80556,0.74489,0.49758,1.01475,1.52523,1.43868,0.00076482,0.00076482,0.00076482
84,739.614,0.67052,0.62155,1.06965,0.76644,0.82618,0.8149,0.47774,1.09329,1.28053,1.52678,0.000753817,0.000753817,0.000753817
85,748.139,0.65353,0.5892,1.04949,0.67973,0.74722,0.69929,0.48608,1.09916,1.29783,1.5294,0.000742815,0.000742815,0.000742815
86,756.024,0.63517,0.61151,1.06515,0.8059,0.60758,0.72167,0.4916,1.11651,1.41191,1.55641,0.000731813,0.000731813,0.000731813
87,763.917,0.71136,0.67739,1.09301,0.82045,0.67778,0.75461,0.49611,1.11111,1.31527,1.59613,0.000720811,0.000720811,0.000720811
88,772.452,0.65358,0.60202,1.05986,0.7383,0.69167,0.73194,0.44957,1.07317,1.397,1.56165,0.000709809,0.000709809,0.000709809
89,780.291,0.6421,0.57501,1.04989,0.69648,0.87291,0.76178,0.46303,1.03892,1.52962,1.55955,0.000698806,0.000698806,0.000698806
90,788.421,0.61527,0.55076,1.03447,0.65482,0.74722,0.7337,0.45342,1.01128,1.46707,1.51279,0.000687804,0.000687804,0.000687804
91,796.248,0.58365,0.54043,1.00985,0.74259,0.57778,0.67797,0.44398,0.96956,1.46266,1.44179,0.000676802,0.000676802,0.000676802
92,804.279,0.62578,0.56116,1.03678,0.77192,0.65,0.66932,0.44,1.01904,1.69629,1.44274,0.0006658,0.0006658,0.0006658
93,811.905,0.62239,0.58478,1.03696,0.80761,0.65576,0.69773,0.46916,0.9999,1.57825,1.42258,0.000654798,0.000654798,0.000654798
94,819.992,0.62751,0.53626,1.04111,0.68291,0.71944,0.7051,0.4633,0.98507,1.46572,1.42587,0.000643795,0.000643795,0.000643795
95,827.72,0.60336,0.55645,1.04202,0.6504,0.80328,0.71717,0.45379,1.01408,1.41291,1.4454,0.000632793,0.000632793,0.000632793
96,835.639,0.61466,0.53321,1.03063,0.62324,0.67996,0.68834,0.43101,1.0141,1.3985,1.44714,0.000621791,0.000621791,0.000621791
97,843.19,0.62836,0.61437,1.03742,0.82106,0.57642,0.6871,0.47172,1.03287,1.45684,1.4873,0.000610789,0.000610789,0.000610789
98,850.982,0.63169,0.57733,1.0445,0.85644,0.57778,0.6796,0.50357,0.96507,1.32417,1.44602,0.000599787,0.000599787,0.000599787
99,858.525,0.58804,0.53756,1.01772,0.61841,0.775,0.68288,0.47129,1.00146,1.30758,1.51342,0.000588784,0.000588784,0.000588784
100,866.267,0.57886,0.52214,1.01897,0.69401,0.86435,0.78689,0.50663,0.94708,1.27811,1.47187,0.000577782,0.000577782,0.000577782
101,873.765,0.61199,0.55138,1.03236,0.86335,0.85246,0.84344,0.5631,0.97582,1.17141,1.42909,0.00056678,0.00056678,0.00056678
102,882.452,0.60228,0.51721,1.05037,0.86365,0.65,0.80217,0.48989,1.02952,1.30998,1.43344,0.000555778,0.000555778,0.000555778
103,891.359,0.58491,0.52496,1.02266,0.78753,0.7467,0.80328,0.55615,0.96647,1.4612,1.3768,0.000544776,0.000544776,0.000544776
104,901.168,0.5592,0.47627,0.9967,0.70107,0.8197,0.74746,0.47355,1.05271,1.37476,1.45754,0.000533773,0.000533773,0.000533773
105,909.251,0.5736,0.54006,0.99956,0.75496,0.76724,0.76854,0.42662,1.0285,1.28321,1.49447,0.000522771,0.000522771,0.000522771
106,919.93,0.56872,0.4927,1.02676,0.76137,0.77623,0.79504,0.49204,0.97752,1.19026,1.43177,0.000511769,0.000511769,0.000511769
107,928.144,0.6118,0.50736,1.04123,0.7973,0.69167,0.8256,0.51075,1.04697,1.19528,1.49124,0.000500767,0.000500767,0.000500767
108,936.011,0.55213,0.48306,0.99368,0.7187,0.81944,0.81465,0.5235,0.99539,1.21697,1.48496,0.000489765,0.000489765,0.000489765
109,944.336,0.48715,0.422,0.95246,0.75295,0.78582,0.83056,0.51652,0.98334,1.31824,1.46164,0.000478762,0.000478762,0.000478762
110,952.138,0.62599,0.53604,1.05148,0.70392,0.86522,0.82937,0.51997,0.99645,1.30383,1.45748,0.00046776,0.00046776,0.00046776
111,960.132,0.54805,0.47089,0.98517,0.77477,0.69167,0.74037,0.48807,1.00014,1.38793,1.43654,0.000456758,0.000456758,0.000456758
112,967.903,0.52633,0.47971,0.98307,0.6594,0.74722,0.69844,0.48983,0.96369,1.38777,1.42646,0.000445756,0.000445756,0.000445756
113,975.861,0.49742,0.45965,0.9717,0.72019,0.64945,0.67793,0.44871,1.01486,1.44998,1.46983,0.000434754,0.000434754,0.000434754
114,983.818,0.5262,0.49726,1.00067,0.62889,0.6592,0.65962,0.44682,1.10928,1.46086,1.55357,0.000423751,0.000423751,0.000423751
115,991.785,0.54774,0.48692,1.00803,0.65711,0.71336,0.70459,0.47101,1.14962,1.36011,1.62891,0.000412749,0.000412749,0.000412749
116,999.746,0.53923,0.45145,0.99131,0.6886,0.74722,0.69518,0.46054,1.10269,1.39907,1.60745,0.000401747,0.000401747,0.000401747
117,1007.73,0.52813,0.48883,1.0024,0.73206,0.65,0.67003,0.44372,1.07791,1.47088,1.57392,0.000390745,0.000390745,0.000390745
118,1016.07,0.55686,0.47035,0.99951,0.7641,0.71944,0.69992,0.46416,1.03722,1.30081,1.53158,0.000379743,0.000379743,0.000379743
119,1023.91,0.51679,0.47937,0.98682,0.68171,0.82311,0.79141,0.47977,1.07507,1.35931,1.54146,0.00036874,0.00036874,0.00036874
120,1032.08,0.49612,0.44758,0.97628,0.70218,0.83333,0.78591,0.49397,1.03225,1.3672,1.51874,0.000357738,0.000357738,0.000357738
121,1039.94,0.51244,0.44883,0.97902,0.67107,0.80222,0.75932,0.47076,1.03375,1.42873,1.52417,0.000346736,0.000346736,0.000346736
122,1048.25,0.50797,0.4431,0.97435,0.81608,0.6824,0.77772,0.50008,1.04709,1.30576,1.54422,0.000335734,0.000335734,0.000335734
123,1055.99,0.51543,0.44338,0.98887,0.78482,0.71944,0.78242,0.51773,1.08453,1.30742,1.58053,0.000324732,0.000324732,0.000324732
124,1063.97,0.4693,0.40631,0.95852,0.86304,0.6698,0.78163,0.50998,1.11111,1.38096,1.60062,0.000313729,0.000313729,0.000313729
125,1072.16,0.49831,0.44028,0.97333,0.85397,0.67476,0.78264,0.51335,1.10645,1.34757,1.59072,0.000302727,0.000302727,0.000302727
126,1080.03,0.51083,0.41314,0.97578,0.76847,0.788,0.81212,0.52588,1.08329,1.42404,1.57209,0.000291725,0.000291725,0.000291725
127,1087.59,0.4983,0.40488,0.9839,0.77515,0.79167,0.78059,0.52511,1.06303,1.45194,1.55958,0.000280723,0.000280723,0.000280723
128,1095.61,0.49529,0.42303,0.96754,0.77448,0.77476,0.73325,0.48601,1.10299,1.58223,1.61435,0.000269721,0.000269721,0.000269721
129,1103.23,0.48611,0.41273,0.97824,0.75098,0.76389,0.72824,0.46407,1.12196,1.60497,1.6483,0.000258718,0.000258718,0.000258718
130,1111.31,0.48635,0.38812,0.97346,0.73443,0.76389,0.71965,0.48189,1.12971,1.57642,1.66607,0.000247716,0.000247716,0.000247716
131,1119.02,0.48389,0.38521,0.97148,0.72082,0.76389,0.73072,0.49608,1.09095,1.56945,1.61014,0.000236714,0.000236714,0.000236714
132,1126.98,0.4637,0.40442,0.96562,0.73632,0.77778,0.74385,0.51706,1.04048,1.50668,1.57149,0.000225712,0.000225712,0.000225712
133,1134.55,0.4868,0.4162,0.97109,0.75512,0.81944,0.74981,0.5186,1.02861,1.47018,1.56541,0.00021471,0.00021471,0.00021471
134,1142.51,0.47716,0.39055,0.96458,0.75566,0.80598,0.75916,0.52315,1.02761,1.43765,1.56238,0.000203707,0.000203707,0.000203707
135,1150.13,0.45975,0.38451,0.95956,0.71607,0.80234,0.75521,0.51148,1.00204,1.40055,1.54226,0.000192705,0.000192705,0.000192705
136,1157.98,0.46746,0.38661,0.96091,0.71037,0.80318,0.73978,0.5044,1.03237,1.46297,1.55704,0.000181703,0.000181703,0.000181703
137,1165.55,0.4476,0.36465,0.95378,0.71506,0.79916,0.73542,0.50023,1.07589,1.50561,1.58538,0.000170701,0.000170701,0.000170701
138,1173.79,0.45242,0.37848,0.96369,0.67621,0.80556,0.75386,0.49759,1.08244,1.50968,1.59008,0.000159699,0.000159699,0.000159699
139,1184.26,0.44257,0.37629,0.94729,0.72406,0.76034,0.74791,0.50569,1.1011,1.59039,1.60927,0.000148696,0.000148696,0.000148696
140,1192.53,0.45905,0.38154,0.96132,0.72679,0.77609,0.74178,0.50677,1.11569,1.58791,1.62779,0.000137694,0.000137694,0.000137694
141,1206.77,0.342,0.3388,0.90051,0.72005,0.79657,0.74801,0.50438,1.09981,1.57796,1.61459,0.000126692,0.000126692,0.000126692
142,1215.17,0.35346,0.33215,0.91248,0.71356,0.82721,0.7555,0.5239,1.07474,1.53148,1.59878,0.00011569,0.00011569,0.00011569
143,1223.61,0.35077,0.32411,0.91057,0.74077,0.8178,0.76342,0.52105,1.06609,1.53625,1.57639,0.000104688,0.000104688,0.000104688
144,1232.92,0.33467,0.30483,0.88712,0.72246,0.82548,0.75591,0.49112,1.0516,1.47919,1.56499,9.36854e-05,9.36854e-05,9.36854e-05
145,1243.31,0.31862,0.28552,0.90657,0.71295,0.79809,0.7504,0.48545,1.04768,1.47114,1.55763,8.26832e-05,8.26832e-05,8.26832e-05
146,1251.57,0.32589,0.28258,0.87678,0.71051,0.81214,0.75776,0.49598,1.04488,1.47051,1.54945,7.1681e-05,7.1681e-05,7.1681e-05
147,1260.08,0.33311,0.29567,0.88097,0.71615,0.80938,0.75712,0.51958,1.04202,1.46751,1.54952,6.06788e-05,6.06788e-05,6.06788e-05
148,1268.47,0.29768,0.26942,0.84372,0.74855,0.77649,0.75723,0.50375,1.03485,1.46392,1.54876,4.96766e-05,4.96766e-05,4.96766e-05
149,1276.57,0.31735,0.27159,0.87898,0.75839,0.78409,0.75882,0.51425,1.03062,1.46574,1.54936,3.86744e-05,3.86744e-05,3.86744e-05
150,1288.61,0.30583,0.27803,0.88664,0.75804,0.78209,0.77445,0.52837,1.02853,1.45838,1.55334,2.76722e-05,2.76722e-05,2.76722e-05
